English,Nyishi
Don't stop ,ywxa mabw
Don't talk!,gomabw
Don't talk me!,ngam gomabw
Don't wait ,kaya mabw
Don't wait for me ,ngo gab kaya mabw
Don't wait for him ,mwwe gab kaya mabw
Don't yell ,soqog mabw
Don't yell at me ,ngam soqod mabw
Don't yell at him ,mwwam soqog mabw
Drink this ,sam twto
Drink this now ,sam twto swgada
Duty calls ,bon nge gogdo
Eat slowly ,nyinyib dwto
Examine it ,aleb kakato
Fill it up ,alam toleq to
Find a job ,bon nyis la kapata
Find a job now ,bon nyis la kapata swgada
Find a job tomorrow ,bon nyis la kapata wram
Fire burns ,wme gwdo
Follow Tom ,tom nen wmen gwta
Follow Tom now ,tom nen wmen gwta swjada
Follow Tom latter,tom nen wmen gwta kokwgam
Follow him ,mwwm wmingeta
Forget Tom ,tom nen mwleqto
Forget him ,mwwm mwleqto
Forgive us ,ngulam wpaq teb
Get off me ,nga hoge ado wto
Give it up ,ywxa to ham
Go on home ,nam wnyik
Go see Tom ,wlayil tom nen kaka ta
Go to work ,bon nyita
Go to work now ,bon nyita sijada
God exists ,pwnbonge dwden
Good night ,albo wyumkan
Have faith ,mwwje to
He coughed ,mwwe wseqpa
He gave in ,mwwe jeleqpa
He gave up ,mwwe yoxapaku
He got a D ,mwwe wpeq napa
He got a pappy ,mwwe iky ko napa
He hung up ,mwwe gongo pwl mwtum paku
He hung up on me ,mwwe ngam gongo pwl mwtum paku
He is a DJ ,Mwwe DJ nge
He is a DJ of club capital ,mwwe DJ nge capitel club aloge
He is here!,mwwe si dopa
He is kind ,mwwe albo nge
He is kind to every one ,mwwe mwle ngam alden
He is mean ,mwwe bwcb jaqbo nge
He is mean girl ,mwwe dwga-twga dwteb nyido
He is poor ,mwwe jangw bonge
He is sick ,mwwe vc pa
He is tall ,mwwe aopa
He laughed ,mwwe nyirpa
He made it ,mwwe mwpa ham
He's Swiss ,mwwe koxio pa
He's cruel ,mwwe benyi-beyxa nyigob nyipa
He's lying ,mwwe koarppa
He's smart ,mwwe wnyi pa
He's smart ,mwwe coxs jaqpa
"Hello, Tom ",hello tom
Here he is!,mwwe si dopa
Here it is ,si dopa
Here we go ,si ngule wpaku
Here we go togather ,si ngule lekin gob wpaku
Here's Tom ,tom si dopa
Hold still ,heb notu tel doyato
Hold still for now ,heb notu tel doyato sejagab
Hold still for a day ,al log gab notu tel dog to
How absurd!,hwdgo mwwlaq kuma
How boring!,hwdgo dosub doyab paku
How clever!,hwdgo wnyipa
How clever you are!,hwdgo no anyipaku
How clever dog!,hwdgo cinglaqbo iky go
How lovely!,hwdgo anyia paku
How tragic!,hwdgo almapaku
How was it?,aaw hogub nyipe
Hurry home ,namwb nyiba wtku
Hurry home now ,namwb nyibab sejada wtku
I admit it ,ngo lopaku
I am a boy ,ngo nyiga ko nge
I am a man ,ngo nyiga nge
I am a girl ,ngo nyem nge
I am bored ,ngo doram-dokam paku
I am happy ,ngo hempdo
I am happy now ,ngo hempdo seja
I am human ,ngo nyinge
I am ready ,ngo mkw-mwa paku
I am ready now ,ngo mkw-mwa paku seja
I am ready to go ,ngo mkw-mwa paku wdkum
I am right ,ngo bejiqpa
I am right altime ,ngo lexam bejiqdo
I am tired ,ngo nying kuma
I broke it ,ngo mwdubpa
I built it ,ngo pwpa alam
I built it for you ,ngo pwpa nog gab
I built it for my mom ,ngo pwpa sam nog aan gab
I can come ,ngo hanyi tayin
I can cook ,ngo wcn mwlaqpa
I can jump ,ngo poqlakpa
I can sing ,ngo gaan belaqpa
I can stay ,ngo donyi tayin
I can swim ,ngo iss jalak den
I can wait ,ngo kaya nyotayin
I can't go ,ngo wlaq ma
I canceled ,ngo wpaq pakun
I canceled tomorrow ,ngo wram gab wpaq pakun
I disagree ,ngo lobama
I disagree with decision  ,ngo lobama sog bengrnamsam
I eat here ,ngo so dwtayin
I eat meat ,ngo wdin dwden
I eat rice ,ngo vcn dwden
I envy Tom ,ngo tom nen kaaneq jaqpa
I envy her ,nog alog nyem alam kaaneq jaqpa
I envy him ,nog alog nyega alam kaaneq jaqpa
I feel bad ,ngo alma mwwdw
I feel old ,ngo nyikam pakhel mwwdw
I fixed it ,ngo alam mwden tayin
I fixed it now ,ngo alam mwden tayin swjada
I fixed it tomorrow ,ngo alam mwden tayin aram
I found it ,ngo sam kapa pa
I found it before ,ngo sam kapa pa kajo
I found it myself ,ngo sam kapa bonge
I got an A ,ngo A paipa
I had help ,ngo svkapa
I hate Tom ,ngo tom nen kwnema
I have one ,ngo ak dopa
I have two ,ngo vnyigo dopa
I have won ,ngo mwyapaku
I have won the match ,ngo soka mnsnamgam mwyapaku
I have won the debate ,ngo beka mnsnamam ngo benyia paku
I have won finly ,wter-anyia ho ngo mwyapaku
I hear you ,ngo nam tapa do
I hear your screm ,ngo nog soqk namgam tapado
I hear you voice ,ngo nog goqnam tapado
I hear you now ,ngo nam tapado swja
I hear you from here ,ngo soqge tapado
I heard it ,ngo tapapa
I heard it somewhere ,ngo hoggolo tapapa
I help him ,ngo mwwm svka pa
I hope not ,ngo mwjedo makel
I just ate ,ngo kajoda dwpa
I knew Tom ,ngo tom nen cingnum
I know Tom ,ngo tom nen cingden
I know her ,ngo nyem alam cingden
I know now ,ngo swje cingoaku
I know you ,ngo nam cingden
I like Tom ,ngo tem nen abey den
I like art ,ngo pwnbo ngam abey den
I like him ,ngo mwwm abey den
I like tea ,ngo saa ngam abey den
I like you ,ngo nam abeyden
I like your cook ,ngo nog vcn mwnam mam abey den
I listened ,ngo tapan
I listtning ,ngo taduden
I love Tom ,ngo tom nen abey den
I love her ,ngo alog nyem alam abey den
I love him ,ngo alog nyega alam abey den
I love dog ,ngo iky ngam abey den
I love butterfly ,ngo borbinsala ngam abeyden
I love you ,ngo nam abeyden
I love bananna,ngo kopaq ngam abeyden
I love apple ,ngo tiibuq aaxy ngam abey den
I loved it ,ngo abeypa sam
I made tea ,ngo sa mwpa
I made tea for them ,ngo bulev gab sa mwpa
I met them ,ngo bulav kapa num
I met you ,ngo nam kapanum
I miss Tom ,ngo tom nen kanw paku
I miss Tom everyday ,ngo tom nen loxiam kanwden
I miss you ,ngo nam kanwdo
I miss you everyday ,ngo nam loxiam kanwdo
I miss your cooking ,ngo nog vcn mwnam mam dwnedo 
I miss your presence ,ngo nog doma namam swngado
I need Tom ,ngo tom nen nwwdo
I need air ,ngo dori ngam nanwpa
I need ice ,ngo tapum nanwdo
I need you ,ngo nam nwwdopa
I need apple ,ngo tubuq bo aaxy ngam nwwdo
I need your help ,ngo nog svka ngam nanwdo
I panicked ,ngo lampakun
I promised ,ngo birgiqyekun
I ran away ,ngo ado keqpaku
I ran home ,ngo namwb keqpakun
I ran home late ,ngo namwb kokw ho wpa
I remember ,ngo mwgampa
I resigned ,ngo ywhapakun
I resigned from my post ,ngo ywhapakun ngog nyik hoge
I said yes ,ngo bepa awkel
I sat down ,ngo dopakun
I saw that ,ngo ham kapa
I saw them ,ngo bulam kapa
I see that ,ngo alam kapa
I shot Tom ,ngo tom nen wpa
I survived ,ngo swpaku
I survived with it ,ngo swpaku sog loguv
I think so ,ngokam heb mwpa
I threw up ,ngo wdumb hwrca pa
I threw it ,ngo ham hwrxapa
I threw that ,ngo alam hwrxapa
I told Tom ,ngo tom nen betumpa
I use this ,ngo sam nyinpa
I use this water ,ngo sog iss sam mwnpa
I want Tom ,ngo tom nen nwwdo
I want one!,ngo akin go nwwdo
I want two!,ngo vnygo nwwdo
I want three!,ngo oumgo nwwdo
I want four ,ngo vpygo nwwdo
I want you ,ngo nam nwwnwdo
I want water ,ngo iss nwwnwdo
I was away ,ngo adoho donam
I was busy ,ngo nyinge dopa
I was good ,ngo alnam
I was rude ,ngo almanum
I was sick ,ngo wvc num
I will try ,ngo nyika tayin
I won't go ,ngo wram
I'll be OK ,ngo alswtayin
I'll do it ,ngo ham nyitayin
I'll go in ,ngo wrab hatayin
I'll hurry ,ngo nyibab hatayin
I'll shoot ,ngo wbtayin
I'll stand ,ngo datayin
I'll start ,ngo nyirab tayin
I'm a cook ,ngo vcnmwden
I'm a hero ,ngo xil-malo nge
I'm a monk ,ngo nyub dvpar nge
I'm afraid ,ngo bospa
I'm amused ,ngo nyirdwb bepa nyipa
I'm anemic ,ngo ui doma nyipa
I'm better ,ngo alyapa
I'm biased ,ngo mwwxaqpa
I'm coming ,ngo haldoden
I'm coming to you ,ngo nog dodeb hal doden
I'm eating ,ngo dwduden
I'm eating food ,ngo vcn dwdwden
I'm eating fruits ,ngo aaxy
I'm famous ,ngam mwle nge cinden
I'm for it ,ngo hogab 
I'm greedy ,ngo bingnying jaq
I'm hiding ,ngo tos dun
I'm hiding here ,ngo si dopan
I'm humble ,ngo aya jaqden 
I'm hungry!,ngo kanwpa
I'm hungry now ,ngo kanopa seja
I'm hungry for sure ,ngo kano jaqpa
I'm immune ,ngo vcam mvturl doognum
I'm in bed ,ngo kartaq si dopan
I'm inside ,ngo wra si dopan
I'm lonely ,ngo wpeb dopan
I'm losing ,ngo nyidudoden
I'm losing the game ,ngo soka mnsnamgam ngam soyadodo
I'm losing memory ,ngo mwwleq dodku
I'm mature ,ngo akam mwlaq paku
I'm moving ,ngo wdudoden
I'm not OK ,ngo alma
I'm rested ,ngo nyinido
I'm ruined ,ngo yuupaq pakun
I'm scared ,ngo bospa
I'm single ,ngo akine
I'm single now ,ngo akine sija
I'm sleepy!,ngo yumepa
I'm sneaky ,ngo kvsil wpa
I'm so fat ,ngo naleq dortpa
I'm so not fat ,ngo dortma
I'm thirty ,ngo camumpa
I'm thirty now ,ngo camumpakun sija
I've eaten ,ngo vcn dwpakun
I've tried ,ngo nyisub nyiyab paku
Ignore Tom ,tom nen wpaqto
Is Tom big?,tom koi panye
Is Tom hot?,tom kangam panye
Is Tom ill?,tom vc panye
Is Tom out?,tom wgeb lenneye
Is Tom out now?,tom wgeb lenneye sija
Is he dead?,mwwe sipakuye
Is he tall?,mwwe awpanye
Is it done?,nyiyum pakye
Is it free?,si swrso paye
Is it good?,si alpaye
Is it love?,si anyia ngeye
Is it time?,mood pakye
Is it time now?,mood pakye swja
Is that it?,alowe alpaye
Is this OK?,si alpaye
Is this it?,si hw jaqpaye
It happens ,si nyido
It is 7:45 ,swja kvn gola campy ang pa
It matters ,si dupum dvrab nge
It matters now ,si dupum dvrab nge swje
It was big ,hoghw koi num
It'll work ,si bon nyitan
It's Tom's ,si tom
It's a bet ,si beinam nge
It's a fad ,si mood gab kangam twqden
It's a fad flowers ,sog wpu si mood ngam kangam deqden
It's alive ,si swldodo
It's bulky ,si mvqlwnam go
It's water here ,si iss dopa
It's clean ,si dwreqpa
It's birds ,si pvta go
It's fruits ,si aaxygo
It's clear ,so hog doma
It's close ,si mwtum pa
It's early ,si kamc jaqpa
It's great ,si aljaqpa
It's green ,si jeenyeq pa
It's my CD ,si ngog CD nge
It's night ,si kan paku
It's on me ,si ngog gepa
It's ready ,si mwk-mwa paku
It's ready now ,si mwk-mwa paku swje
It's shiny ,si kwlik-kalaqpa
It's stuck ,si mwtum pa
It's there ,si wdopa
It's white ,si pulu pa
It's windy ,si dooi ywdudo
It's yours ,si nogge
It's yours now ,si nogge swja
Jesus wept ,Jisu kapa
Just do it ,heb nyito
Just relax ,heb dotwto
Keep it up!,heb nyitwto
Keep it up always ,heb nyitwto loxiam
Keep quiet!,wcub doto
Keep it safe ,aleb apto
Leave town ,pamda sam aleq nyiku
Let Tom go ,tom nen wmto
Let Tom go now ,tom nen wmto swja
Let Tom go to school ,tom nen school wmto
Let Tom go market ,tom nen market wmto
Let Tom in ,tom nen wurab hamto
Let me die ,ngam simtub
Let me out!,ngam wgub wmtub
Let me pay ,ngo jwtayin
Let me see ,ngam kamto
Let me try ,ngam nyika mwmtb
Let us out ,ngulam wgub lemtub
Let's pray ,pratna mwnyiatuj
Let's talk ,agum gonia tuj
Let's vote ,vote nwyia tuj
Let's walk ,kuj wbam tuj
Look again ,lokda kato
Look ahead ,wtub kato
Look at it ,bolo kato
Look at me ,ngam kato
Look at us ,ngulam kato
Look it up ,awb kato
Look there ,alob kato
Love hurts ,anyia nge vc den
Love lasts ,anyia almaden den
Mama cried ,ann kabdo
Never mind!,mwwgab mwwm
No comment ,bes doma
No kidding?,somab
No problem ,ws-wxa doma su
"Oh, really?",oh heb ye
Pick it up ,narubto
Pull me up ,ngam burabto
Pull me down ,ngam pulto hateb
Quiet down ,wcb dowato
Replace it ,kwlto
Run for it!,hogab juqto
Say cheese ,cese hel beto
She is old ,nyem si akam pa
She smiled ,nyem aw nirpa
She's busy ,ngem aw nyinge pa
She's mine ,ngem aw ngoge pa
Sing along ,bebato
Smell this ,sukato
Start here ,soge nyirab to
Start over ,nyirabto
Stay sharp ,henggab doto
Step aside ,wxayato
Step on it!,tolob tagcato
Stop there ,ho daqyato
Stop there now ,ho daqyato swjada
Take a bus ,bus nwtuta
Take a nap ,mwcaqgo yubto
Take cover!,mwtum to
Take these ,sam nato
Talk to me ,ngam agam goto
Taste this ,sam dekato
That a boy!,aloq aw ngega ko nge
That hurts ,heh vcpa
That'll do ,heh bon nyitayin
That's Tom ,heh tom pa
That's all ,hetwku
That's his ,heh aloge
That's new ,heh nit go
That's sad ,heh mwwdw sago
They agree ,bulv birpa
They cheat ,bulv vmwpa
They slept ,bulv yupaku
They stood ,bulv daqrubpa
They tried ,bulv nyikapa
They voted ,bulv boot neqpa
They're in ,bulv hapaku
This is OK ,si al paku
This is it ,heh si pa
This is me ,si ngo la
This'll do ,si nyitayin
Time is up ,moodw wyum paku
Tom agreed ,tom birpaku
Tom ate it ,tom depaku
Tom burped ,tom dwrdo
Tom called ,tom gogpa
Tom cheats ,tom wmwpa
Tom dances ,tom nassopa
Tom did it ,tom ham nyipa
Tom drives ,tom gari pwrdo
Tom failed ,tom nyiya kuma
Tom forgot ,tom mwwleq paku
Tom fought ,tom mwwmin supa
Tom gasped ,tom bespa
Tom goofed ,Tom somin soya num 
Tom got up ,tom gorub paku
Tom has it ,tom dogpaku
Tom helped ,tom svka pa
Tom helped me ,tom ngam svkapa
Tom hit me ,tom ngam jwpa
Tom is bad ,tom alma
Tom is big ,tom koipa
Tom is fat ,tom poot jaqpa
Tom is fun ,tom binyir jaqpa
Tom is ill ,tom vc pa
Tom is mad ,tom dumpo nge alma
Tom is new ,tom nit nge
Tom is odd ,tom alma lusaqpa
Tom is old ,tom nyikam paku
Tom is out ,tom wgub lenen
Tom is good ,tom alpa
Tom is sad ,tom mwwdwq do
Tom is shy ,tom hwneyido
Tom is wet ,tom jujapaku
Tom jumped ,tom puqpaku
Tom looked ,tom kaqaqpa
Tom moaned ,tom gamsapa
Tom nodded ,tom pwknum 
Tom obeyed ,tom benam ngam taamin gvnum 
Tom paints ,tom nyimwwdo
Tom paused ,tom rwnupa
Tom phoned ,tom phone mwwpa
Tom prayed ,tom xumnum 
Tom saw it ,tom ham kaanum 
Tom saw me ,tom ngam kaanum 
Tom saw us ,tom ngulam kapa
Tom shaved ,tom dum ngam rwgxa paku
Tom sighed ,tom saqpa
Tom smiled ,tom nyirispa
Tom smoked ,tom biri twdo
Tom snores ,tom yubhar do
Tom stayed ,tom dopa
Tom stayed there ,tom tolo dopa
Tom talked ,tom agum gopa
Tom waited ,tom kayapa
Tom walked ,tom wngpaku
Tom winked ,tom vnyi kw nyici-nyibo nyioa
Tom worked ,tom bon nyipa
Tom worked for all day ,tom sol al lopw bon nyipa
Tom yawned ,tom gomsapa
Tom yelled ,tom soqkpa
Tom yelled at me ,tom ngam soqkpa
Tom'll cry ,tom xabtayw
Tom'll die ,tom sitayw
Tom'll pay ,tom ywktayw
Tom's busy ,tom nyiqdo
Tom's deaf ,tom tapa mado
Tom's died ,tom sipaku
Tom's fast ,tom nyibajab pa
Tom's free ,tom domindo
Tom's free for today ,tom sol gab domin do
Tom's glad ,tom hemp pa
Tom's gone ,tom wnkuba
Tom's here ,tom sidopa
Tom's home ,tom nam hapaku
Tom's hurt ,tom nen vcpa
Tom's left ,tom wnkuba
Tom's mean ,tom mwwsw bo go 
Tom's safe ,tom alpa
Tom's sick ,tom vcpa
Tom's ugly ,tom kac jaqpa
Tom's weak ,tom laanyi maapa
Tom's well ,tom vc maapa
Tough luck!,nyinyibo xijiqnam
Try harder ,nyikato aljab
Turn it on ,mwwkoto
Turn it up ,wdum mwwcato
Turn right ,labwb parto
Wait a sec ,mood anyiogo kayato
War is bad ,nyob panam mwwe alma
Was it fun?,sonam mwwe aldoye
Watch this ,sam kato
Watch this bird ,sog pvta sam kato
We all die ,ngul mwwle nge sitayeku
We all lie ,ngul mwele nge wmdo
We are men ,ngul mwle nge nyega nge
We buy CDs ,ngul cd rwtayin
We can pay ,ngul jwyin tayin
We can try ,ngul nyika deb nyipa
We can win ,ngul mwya tayin
We had fun ,ngule sominpa
We laughed ,ngule nyirpa
We like it ,ngule ham abypa
We lost it ,ngule ham nyimpaku
We love it ,ngule abeypa ham
We made it ,ngule mwpaku ham
We saw Tom ,ngule tom nen kapa
We saw you ,ngule nam kapa
We want it ,ngle sam natayin
We'll cook ,ngule vcn mwtayin
We'll help ,ngule svka tayin
We'll obey ,ngule tatayin
We'll sing ,ngule gaan betayin
We'll wait ,ngule kaya tayin
We'll walk ,ngule kaya tayin
We'll work ,ngule bon nyitayin
We're back ,ngule hakur tayin
We're back tomorrow ,ngule hakur tayin aram
We're busy ,ngule nyingepa
We're cold ,ngulam swkerpa
We're even ,ngule benyia mwns sadoma
We're fine ,ngule alpa
We're here ,ngule si dopan
We're here from morning ,ngule si dopan sorge
We're home ,ngul naam wcpaku
We're late ,ngule kokw hapaku
We're late to reach ,ngule wc deb dugub paku
We're lazy ,ngule swpeye bonge
We're rich ,ngule nyitbo nge
We're weak ,ngule laanyi mwwpa
What gives?,hoge jipa
What gives you?,hoge nam jipa
What is it?,hoge hel
What is it now?,swja hoge hel
What's new?,hoge nitpa
Where am I?,ngo hoglo dopa
Who are we?,ngule hiye
Who did it?,hiye nyipan sam
Who has it?,hiye ham dogpa
Who is she?,alog nyem aw hiye
Who phoned?,hiye phone mwwpa
Who phoned now?,kajo hiye phone mwwpa
Who saw me?,ngam hiye kapa
Who saw me now?,ngam hiye kapa sija
Who stayed?,hiye dopa
Who stayed now?,hiye dopa sija
Who talked?,hiye goon bonge
Who talked now?,sija hiye ngam goon bonge
Who was it?,hiye num aw
Who yelled?,hiye soqk pan
Who yelled at me?,hiye ngam soqknum
Who's here?,so hiye dopa
Who's next?,hiye kokw
Who's sick?,hiye vc pa
Who's that?,aloq v hiye?
Wood burns ,wsi nge wm gupaku
You decide ,no birto
You may go ,no wjaqkukam ale
You missed ,no mwwxaqpa
You owe me ,no ngam svkapa
You're big ,no koi pa
You're old ,no nyikam paku
You've won!,no mwya paku
All is well ,mwle nge alpa
Anyone home?,nyi dopa ye nam so
Are we done?,ngule nyiyum pakye
Are we lost?,ngule nyim pakye
Are we safe?,ngule alpaye
Are you Tom?,no tom ye
Are you fat?,no dort panye
Are you fit?,no jubtaq paye
Are you hot?,no wg paye
Are you mad?,no hang linpaye
Are you new?,no nit nge ye
Are you shy?,no henyipaye
Ask anybody ,hiyenikam tato
Ask for Tom ,tonm nen tato
Be creative ,nyilaq- nyipaq toh
Be discreet ,agam mam la swwnam henl toh
Be merciful ,anyia mwwpa bogum nyito
Be ruthless ,anyia mwwpa ma bogum nyito
Be sensible ,tagubl swwto
Be specific ,mwwdir bo gub nyito
Be tolerant ,cwng bogub nyito
Be vigilant ,henggab jaqbogub nyito
Be yourself ,atte nyito
Beer's good ,beer upo nge alpa
Boys do cry ,nyiga ngekam habden
Break it up!,tortuto
Can it wait?,hw kaya nyio tanyie
Can we come?,ngule hat ye
Can we help?,ngule svka teye
Can we sing?,ngule gaan bengtayinye
Can we talk?,ngule agam goon tayinye
Can you see?,no kapa doye
Come aboard ,ado nyok wb wn
Come closer ,agum hwnyik to
Come get it ,halayil nato
Come get me ,halayil ngam nato
Come get me now ,haayil ngam nato swja
Come see me tomorrow ,aram ngam halayil nato
Comfort Tom ,tom nen anyiab dwngto
Contact Tom ,tom nen bepato
Cook for me ,ngog gab vcn mwto
Cook for me tomorrow ,aram ngog gab vcn mwteb
Count me in ,ngam kam kitaqto
Count on it ,ham kam kitaqto
Did Tom cry?,tom xabpanaye
Did Tom die?,tom sinkunye
Did Tom eat?,tom vcn den mwye
Did Tom run?,tom xarlpanaye
Did Tom try?,tom nyika panye
Did it help?,si svka pan ye
Did it work?,si bon nyidye
Do as I say ,ngo hogub bepan nyito
Do it again!,herab nyider to
Do you fish?,no ngui padnye
Don't cheat ,wm mwmabwka
Don't do it!,ham nyima beka
Don't fight ,jemin sumab
Don't go in ,wrab hamab
Don't laugh ,nyirmawb
Don't leave!,wmamb beka
Don't panic!,lom mamb
Don't shoot ,soqkmwb
Don't smile ,nyirs mwab
Don't stare ,rogab mwab
Don't worry ,mwwdw mwbm
Eat with us ,ngul lagb deto
Finish this ,sam nyiyumto
Flip a coin ,twnk ngam laqwmto
Forgive Tom ,tom nen apaq jito
Get in here!,wrab hato
Get serious ,sig dorgv kurumto
Get started ,nyirabto
Get to work ,bon nyikum wto
Go find Tom ,wn tom nen kapata
Go find out ,wn kata hoge nyipan
Go for help ,svka kota
Go home now ,namwb wn ku sija
Go that way ,alo lamtab wn
Go to sleep ,yubtaku
Go with Tom ,tom lagab wnku
Have a look ,kaka to sam
Have a seat ,doto dotam so
Have we met?,ngule kenlo paipanye
He can come ,mwwe hatayede
He can read ,mwwe poori dub cnden
He can swim ,mwwe iss jalaqden
He found it ,mwwe ham cnpaku
He got away ,mwwe ado wnkun
He has come!,mwwe hapku
He has guts ,mwwe hatur pa
He helps us ,mwwe ngula svkapa
He is alone ,mwwe wpb dopa
He is eight ,mwwe piin pa
He is happy ,mwwe hamp pa
He is hated ,mwwe oyumpa
He is lying ,mwwe wmemwepa
He is young ,mwwe anyiopa
He loves us ,mwwe ngulam anyiapa
He needs it ,mwwe ham nyidub nyipa
He relented ,mwwe wpaq paku
He stood up ,mwwe daqrab num
He was busy ,mwwe nyinge num
He's a jerk ,mwwe haqma paqb twqbonge
He's a liar ,mwwe wmen bonge
He's asleep ,mwwe yubl dodo
He's coming ,mwwe hadudukun
He's crying ,mwwe xabl dodo
He's loaded ,mwwe vgw mwyumpaku
He's my age ,mwwe ngog swtame
He's not in ,mwwe wraso doma
He's strong ,mwwe wturpa
He's wasted ,mwwe mwciq mwyiq paku
Hello again ,hello logda
Here I come ,ngo si hapaku
Here she is!,sidopa mwwe
Here we are!,ngule si dopa
"Hi, I'm Tom ",hi ngo tom
How are you?,no alpaye
How curious!,hedgo cengnw do
How is life?,swge hogub nyido
I am a cook ,ngo vcn mwn bonge
I am a monk ,ngo nyub dvpar nge
I am a twin ,ngam ko bwkam namw
I am afraid ,ngo bospa
I am better ,ngo alyapan
I am coming ,ngo haduden
I am dozing ,mwwe anyogo yubpa
I am eating ,ngo dwdoden
I am joking ,ngo saduden
I am online ,ngo online dopan
I am single ,ngo wpeb dopan
I am taller ,ngo vwoyapan
I asked Tom ,ngo tom nen tapan
I asked why ,ngo tapan hoggab hel
I assume so ,ngo mwwpa heb hel
I blame Tom ,ngo ntom nen ruumnum
I bought it ,ngo sam repan
I burned it ,ngo sam wm ramleq pan
I can do it ,ngo sam nying tayin
I can't eat ,ngo denying ram
I can't fly ,ngo jarnying ram
