English,Tagin
The tiger didn't listen and asked the elephant to mind her own business,paatv tvji makv hvla svtv nyi atu gv kaam rila kv hvla minto
area,tangv
normally can not found,maanyu lo kaapa ma
We're OK,ngulu alv do
2nd elder brother,paai
He smiled,bww nyorsi pa
bring the oriok here,orioka so bvvlwk tho
I can win,ngo yaala re
for what reason you carried it up here,hugu gvduu gvlo no gvcha pvnv
But the enemies were angry with Jesus.,Vbvritola Jisunyi nyirunv vdwv abuyabv haak yayato.
A Story about Jesus in Galilee [1:14—9:50],Galili lo Jisu nyi apumlo gamlv mingo karnam (1:14—9:50)
we all should start doing,ngunu risu gukv
armor,svtam
a handful of,alak lakpam gu
Takar looked sadly out the window,Takar popum lokv mwwdwk tvla kaape
and gave Takar a pencil,hokv Takar nyi pensil aku jito
I lost it,ngo vm ngemu ro
You won,no yaapv
apparel,kaapu nv iji koonam
3rd elder brother,paayo
you are cheated by tasar,tasar na lobro
Perfect!,hvbww pa!
I touch a leaf,ngo oku aku hingka do
Takar laid his cards on the table,Takar atu gv tach vm tebul lo apv pa
dog bites the meat ferociously,ikki hv adina haptar lwkdo
He's lazy,bww kamduu do
apparent,hvbv rinam
I'm upset,ngo gv haa ngv alv maado
mithun jump down ,subu hv attam bv choolu do
in order to witness the Si-Donyi grand ritual they come to the altar,Si-donyi uyu mvnam vm kaarya dubv nyugwng lo ala dodo
Don't say that kind of word,hvkv nv agam minyo
Get her out of here,vm so kongv bvro to
Takar put the diary in the drawer,Takar dairi kitab vm drovr lo apv pa
come one by one,akin-akin bv aato
Tara killed the Pig by kicking,vrik anga duki bongv Tara
I'm happy,ngo himpu pa
pucking fruits from other's garden,pucho
you have never tried to know what's in my heart,murum ara hinka ma
I have given away all that I had remaining,achar-abar gu doonama jiro
Don't tell your dad,nogv abu nyi mintam yo
You're a good girl,no alv nv nyemv go
make something down,mvlu
whether you kick and deform me,dukup-dulik mvda kam
You lost,no ngero
I ma not planting tree,ngo seenv lvngma
Date,svlu
confuse in doing the work,mvbwk-mvrwk ma
from which side we will go?,Hugu la takbv iire?
Tapa is very clever,Tapa ichi bv nyeba do
aunt,mui
tired of working,ringv puku
The dog eats meat,Ikki v adin dvdo
I am unlucky in asking money from other,ngo morko kojin ma
drinking water,issi tvvnam
mopping away the mud,eeryu twkak
can't pickup the insect,tapum charngv chingku ma
He entered the army,bww miltri lo aaro ku
However,hvbv rije ka
arrive,aato
go and see tara,tara nyi kaatei
Since from the time of our ancestors we the Tagin worshipped Donyipolo,Ngunu Taginv Abuapa lokv Donyipolu ha kumbwng la dodo
Do visit my home,ngo naam aapik laka
Come home,naam aato
The elephant stopped a bear and asked what was happening and was told that a tiger has been attacking all the animals,svtv sutum nyi hugu ripv kv hvla tvka to sutum minto paatv aku senwng-semin gwdww vm minrap to
Shut up!,acho dooto!
Flowers are pretty,Apu kaangam do
Don't die,sima bv
by seeing sister chungnv and brother riabu's doings Karbu-Ribu joined them on their ritual perfomances,Karbu-Ribu hv Chungnv-Riabu gv jaanam ha kaaria tola kooching-kooching bv gungri jaalin mengv la ripv nvyu
having seen,kaapa tvla 
You have to see it,no sim kaapv rido
I hit Takar,ngo Takar nyi nwkpa
He bought a new car,v nutun nv kaar aku rvvpa
I'm ready!,ngo kampv ku!
You're a sharp one,no nyeba nv nyi go
don't roast the sweet potato,kore so baayo
Does Takar wear shoes?,Takar lvkiam gvdo?
What's your favorite type of weather?,no gv alv yasuk himpa nv nyido-issi hugu la?
I cheated,ngo lobpa
don't insist me for alcohol,nga oppo lvga bv yaabung ma
people are engaged in winnowing of paddy grains,nyi gvdw amv kapdo
wash this cloth again,iji so paachin tuku
"From Paul, who is called an apostle of Christ Jesus by God’s will, and from Sosthenes our brother.","Pwknvyarnv gv mvngnambv, Kristo Jisu gvbv Apostol gubv goklin kunam Paul ngo gvlokv, hokv ngonugv achiboru Sostenes gvlokv—"
President,pvrsident
armada,lvmww
I am seeing you now,nam ngo kaapa riku
then I will become your path,ngo rire nokv lau bv
I am unable to catch the mithun,Ngo subu hogla ma
It burned,si mvyok pvku
Takar is washing alone,Takar paapww do
fourth day,api jinv alo
home minister,naam ministvr
You only live once,no lvku ngunyum seedo
He can hardly speak,bww agam achuk gu ka jabchin ma
Visitors have eaten food,Aanv nyi achin dvro
It works,si kaam rido
Don't smoke so much,jeegu bv tvvduu tvvma bv ka
search around,meekar
You know how it is,si hugu vh hvla no chindo
And when the shaman or priest preach they use the word Vjing or Vji instead of the Donyi,Donyi gv ugu ara gv uyu attor torlin ryanv tolo Mindo
Cuff him,vm leeto
Can you dance?,no danse richin do?
Elephant And Friends,svtv la ajin gwdww
1st elder brother,achi
Bundle the sticks into five each,Seeda so daangu-daangu gubv puchi to
Everybody's smiling,nyi gwdw nyorsi do
apprehension,naatu nam
now it is the time to work in crop field,sejak rongo mvdw
Shine and rise like moon,karda poolu bv karla ka
He has enough money,bww gv morko kubo bv doodo
Can you cook a meal?,no achin kwwchin do?
Who am I?,ngo hvyv la?
why are you point finger at me?,no hugu bv ngom lakchi chido?
When we say Donyi while we speak about the Si-Donyi we don't literally say about the sun Instead we speak about the divinity which the sun has in the form of light and warmth,Ngunu Donyi hvri nyi Donyi apw tolo dadw minma do
whether there you decorate your house,huru gyumgi kuji kam
I can jump,Ngo chumni do
Be nice to your mom,atu ngv anv vm angam-ai bv rito
what happen,hugu ripv
arms,hidu
He does not walk fast,hv bapu bv vngma do
who is owner of the house,naam atu hv hvye la
So long,achvlv bv
I am teaching how to read,ngo puri rigv gvdu
tara you move,tara no bito
Takar is raising hand,Takar alak gyadu do
Now a days peope die early and these people also drinks too much alcoho,svlu-melu nyi v sigor do okv nyi gvdv si ka oppo ichi bv tvvdo
angels of Anv Donyi ,Donyi-Jirpu
don't stand in the middle of road,daalo lvpa lo dakma
To let grow the aquatic lives in fresh winter water,Haaigv lo dvra Darmum duku bv
don't sit too much near tara,tara dooku lo haalu gubv dooma
asking baby to sleep,anga acham toh
He has a kind heart,v gv anyak nv haapuk doodo
Takar left Boston three days ago,Takar looum alo lo Bostom vm apak ro
Do exactly as I say,ngo gv mintam nam aapia bv rito
let the people get inside,nyii am arw aamu toh
I'm game,ngo sunam v
my brother is working,ngo achi kaam rido
will you eat nyakrin,nyakrin ane dvre
I will come tonight,siyum nyi ngo aare
Everybody likes Takar,nyi gwdw Takar nyi kaagia do
Takar knows what he's looking for,v hugu kaakar dvkv hvla Taka chindo
this is our football ground,si ngunu gv putbol riku
Whom to give this to?,So hvyv nyi jire?
8th day,apikvlam piinw jinv alo
Is he Takar?,vv Takar bvre?
What's your favorite sport?,no gv alv yasuk nv keli hugu la?
Excuse me,vvro to
Takar makes his living by singing,Takar gaana gaatvla svdo
Back off,vvkur to
Elder brother,achi
seventh day,lonw jinv
tara can build house,tara naam mvlaa do
I'll listen,ngo tvvre
who was pushing the door,popuma nvvnv hvye do
Everybody loves Takar,nyi gwdw Takar nyi aya do
this year,svnyi
All of us are happy,ngunu mwnww vh himpu do
Takar said he saw Yapi doing that,Yapi vm ridvbv Takar kaapv kv hvpa
Give me a note of rupee,morko abar gu jito
what have you been doing?,no hugu mvdu kunv
Do you know any magic tricks?,no jaadu mvdvbv chindo?
Are you enjoying it?,no gyomin pvri?
He was crucified and raised to life.,"ninyi daapo lo takkinam, okv turkurkunam,"
you will get beaten by me,ngo lakmara no gvji kv
the lightening flashed out,dooriak hv riaklin laku la
am not feeling fine,ngo anyu ma
fourth day,lopi jinv
I always miss you,Nom ngo mwwpa bwwbw do
vomiting profusely,hor-hor bvvdo
now a days you do not visit Daporijo isn't?,Svlu-melu no dapo chaalwk-chaka kuma hai?
who is that ?,Hv hvye ?
During this ritual a frog from the earth and the messenger from the sky came and supported the ritual,Ho gv Uyu kambv beyri ho Seching gv Tatwk ka okv Dootv gv Harcho nga kambv bvngrin nvpa
Don't tell your dad,nokv abu nyi mintam mabv ka
prepare nyerwk vegetable just after plucking,nyerwk Oo nga sakdak lo mvto
It works,si rido
He abused our trust,v ngulu gv jeenam vm damnyak ro
I'm drunk,ngo tvvlwk pvku
who have capture the hen inside the cage,porok tumbu hv hvye la
let's go to village together,ngunu lvko bv nampam chaala ju
I know how to use arrow,ngo opok aplak do
two scoop of ice-cream for me,ngom ais-kriim gobnyi gu
Calm down,maanyum bv
Riumchingjering instructed Riumdo and Riumching to stay inside the house for ten days as a ritualistic restriction,Riumchingjering Riumdo nv Riumching bunyi vm alu looring gu arw doola kv hvla minto
What's your favorite food?,no gv dvnwng nv achin hugu do?
Don't call me again,ngom lvkoda bv gogyo
My leg is paining,ngo gv lvpa ngv ach do
The last days and near Jerusalem (Matthew 21:1-27:66),Ataranya hupta lo okv Jerusalem gv nvchilo (21:1—27:66)
The sun is shining brightly.,Donyi ngv achvlv bv huudo.
go around,vvkar
I'm tough,ngo ato pa
don't call yourself a boy,no yapa hvsu yo
Don't run,ryoma bv
tara don't be over excited,tara no amok bv kakar mabv ke
cut around,pakar
day before yesterday you lifted logs after taking food,no keelu achin dvtv la seepo joopa
we are in this modern period,ngunu selu gwwcha so
put the firewood on back,vsii so ngo nangku lo jooge tho
Don't let them come,adv vm aamu ma
Everybody likes Takar,nyi gwdw Takar nyi pakdo
I may go,ngo vvtu cho
Takar ought to do that more often,Takar diki bv lvku mvkam re
Everybody hates Takar,nyi mwlww Takar nyi keenam do
this rope is not strong,osso si haachin ma
not visible now,kaapa kuma
Takar really did a good job today,Takar svlu alo lo alv bv kaam ripa
You know I hate it,ngo sim keedo hvla no chindo
Does Takar have a key?,Takar gv mvtum nvnv dodo?
applicant,pyagnv
throw away the stone,vlwng so kungha tho
tara has arranged a mithun,tara subu aku rwwlwk pv
please do it seriously,dwk-dwk bv rinya to
big male mithun,bottv
You look fine Takar,Takar no kaapu bv kaado
divide into four equal part,api kalam bv horpin suto
by dragging you forcefully,seekup-seelik mvtv la
don't interfere,no go-go ryama bv de
Don't engage in conflict after arguing,gaam raabung minsu jila
Are you on Facebook?,no facebook lo dopv nv ri?
Don't call the mithun a pig,subu vm erik gubv minyo
Did you yell at Takar?,no Takar vm gokpv nv ri?
the forests are beautiful,gwtv yorngv kaapu v
Takar rescued a dog from drowning,Takar ikki aku issi lokv pulin pa
Takar likes to stay at home alone,Takar naam lo ajin kaama dodvbv alv bv mwwdo
Takar said he'll do that for Yapi,Yapi lvga bv Takar vm mvdv bv hvla hvpa
if you search properly you'll find,alvbv kaakar bolo no kaapa re
I feel the cold,ngo haarik himpa do
the thread is broken,tanu songv apwk ro
whether you have given mithuns as my price,no arw-subu vm jida kam
People have been coming to the wise man,Nyi gwdw nyikki nv nyi vm kaadu bv aado
I sit with the baby in daytime,ngo alu nyi anga doogv do
due to the sun seed grows into a healthy plant,Donyi hv svnvng-svmen gv ali ha lilen jito ku
I smell the air,ngo duuri vm namdo
how much is the price of coming here,so aajo ngv hvkam gu
"The thoughts of men,","nyi nyi gv mvngnamsaknam,"
tara is very tall,tara ao-kanggo do
I pay you money so that you might work hard,alv rimu dubv nam ngo morko jido
Yaper you pluck the feathers,Yaper no amw vm binkak to
Didn't you wash your hands?,no alak lasok ma?
Breakfast is served,aru gv achin toolin ro
Soup is boiling down,ala ngv hua dwwla ka
The brave man fought bravely,nyimin nv ator bv pami supa
I saw you,ngo nom kaapa
The resurrection and the Lord’s presentation (Luke 20:1-31),Turkurkunam okv Dvbv gv kaatamsikunam (20:1-31)
came by crossing the hill,muudw boola aadu
I'm new,ngo anyi takvr do
I'm busy,ngo ngingv do
He designed the car,v kaar gv ywrnam vm mvlin pa
come here immedietely,ainbv so aato
I don't know how to tie knot,ngo osso yikchin ma
where is the entrance of your house,no naam aaku hv hugulo
save by performing rites,uyu guutv
What we will do?,ngunu hugu mvre?
construct house with tara,tara nyi naam mvgv tho
if I become like the sun light,Donyi Gobv ribo lo
The church in Corinth and Paul (Matthew 1:12-7:16),Paul okv Korint lo gvrja (1:12—7:16)
take out the ice-cream,ais-kriim goblin tvki
You just got lucky,no selu gumpu pvkv
I hide your machete so that it may not get lost,no gv oryok v ngema dubv ngo pvvchi jido
Takar sat down and read the paper,Takar puktu tvla nius abor vm puri pa
come closer,so aanwk toh
I want to make alcohol,ngo oppo linww
Say hello to each other and pray for each other (Matthew 15:14-16:27),Lvknyunglvknya okv atunvgv kumrwklwtak sinam (15:14—16:27)
should have given atleast few,ache guka jida la
move the hand from belly to head,kepo lookv dumpo ryacha tho
hide this pebble,vlw so darchii tho
I undertsand tagin language,ngo tagin agam tvchin do
4th elder brother,paako
should I eat this?,ngo so dvre?
Did Takar forgive you?,Takar nom apak puku nv ri?
I was shy,ngo hanying pe
Whom are you punching?,No hvyv nyi kvdo?
 this man came yesterday,So nyi si meyru aapa
appreciate,umbonyi hvnam
Do you like me too?,no ngom ka kaagia do?
what are you eating?,no hugu go dvdo?
Takar is my father,Takar ngo gv abu
give a bundle of firewood,vsing bvvcham gu jito
Tapa have been staying here for long time,Tapa kvvlo lokv so doobv do
talk again,lvko da minto
Don't tell your dad,nokv abu vm minyo
cut clean the periphery of the crop field,rongo raagam ma pakak tho
Prime minister,praim ministvr
Go home,naam vvi lakv
Look upward,Tolo bv kaadu to
Moral: Unity is strength,Tvgap nam gaam:lvkin bvju ator to
you imitate the way tanya walked down,no tanya nyi iring do
Beat it,vm damto
what reason you have to do ,hugu ridung gu do pv
these grasses are beautiful,Nvmw si kaapu do
The last days of the Festival of Unleavened Bread and Near Jerusalem (Lev 19:28—23:56),Ataranya hupta lo okv Jerusalem gv nvchilo (19:28—23:56)
lets work toward up,tolo bv riduu la ju
land mass sliding into river,rachikv koro haabok pv
give me a bundle of banana,ngom kopak bwwkin go jito
stones are falling,vlw ngv bak-bak hoolu du
tara is showing reluctancy,tara anu-asa do
the fire is extinguished by the rain,vmw ha nyido ngv panyik ro
Don't do that to me,ngom hvbv mvyo ka
to surround an object with a structure,mvyik
papa is cooking food,abo achin mvdu
Where were you roaming?,Hugulo rikar pvnv la?
to my mother,ngo kv anv nyi
I like chocolate,ngo choklet alvbv mwdo
I wear a dress,ngo iji gvdo
throw this beyond the fencing,so seluu nga harboo tvke
He has acted wisely,bww nyiki bv ripa
don't bring it inside,vm so gvlwk mabv
You're with me OK?,no ngo gv lokv dodo ai?
He did it willingly,v vm atu kusi bv mvpa
"As fast as he could caper,","byapu-byapu bv nw jokto ku,"
Then he directed the church to ask for money to help the poor in Judea.,Vbvrikunamv nw Gvrja nga Judia mookugv kristan nyi heema opin vdwa ridur nvdubv morko jise gv lvkwng nga dinchi rungbv mintoku.
I have no house to stay,Ngo doogi naam kama
Takar knows that I don't like him,Ngo Takar nyi alv bv himma dvkv hvla Takar chindo
I forgot your name,no amina ngo chinku ma
Do I curse too much?,ngo achvlv bv beedar pvnv ri?
what is the balance amount,morko nyelin nv hvkam gu
